facility_id,facility_name,facility_type,region_clean,latitude,longitude,capacity,licence_issue_date_clean,inspection_date_clean,remarks
HF-0000,Burgess-Ingram Medical Center,Community Health Ctr.,St.Lucy,13.08576,-58.75331,250.0,2021-01-04,,
033477,Collins Inc,Hosp.,St.Peter,12.87196,-58.84001,,,2023-04-17,Good
#2,Butler-Leon Clinic (St.),Hospital,St. James,-58.82307,13.00952,117.0,2016-02-18,2022-12-30,Good
2,Butler-Leon Clinic (St.),Hospital,St. James,-58.82307,13.00952,117.0,2016-02-18,2022-12-30,Good
HF-0003,"Powell, Morales and Butler Infirmary",Health Ctr.,St. Lucy,12.77293,-59.04279,179.0,2020-11-21,2024-03-07,Follow-up 2023
00004,"Williams, Woods and Bradley Polyclinic",Hospital,St Andrew,13.211944444444443,-58.86388888888889,,2021-04-17,2024-01-31,
NAN,May and Sons Medical Center (St),Polyclinic 🏥,St Peter,13.035,-59.010555555555555,,,2018-01-01,Follow-up 2023
00006,"Herrera,-Taylor-and-Sanchez (St.Andrew)",Health Centre,St.Andrew,13.235555555555555,-59.03361111111111,,2021-11-06,,-
007,Wagner-Franklin Health Centre,Clinic,St. James,-59.10919,13.04721,461.0,2018-05-18,2019-07-31,
NAN,"Hurley, Jensen and Perkins Hosp. (st.)",Hosp.,St. Lucy,13.21772,-59.18644,338.0,2025-09-09,,Reinspection due
HF-0009,Lee-Macias Polyclinic©,Community Health Centre,St. Andrew,12.895555555555555,-58.98694444444445,,2019-11-13,,Reinspection due
NAN,"White,-Wilcox-and-Martin Medical Center (St.)",Polyclinic 🏥,St. Andrew,12.71967,-58.88816,408.0,2024-01-18,,-
011,Brown-Wilson 🏥 (ChristChurch),Community Health Centre,Christchurch,13.23861111111111,-59.038333333333334,27.0,2020-09-27,2019-03-13,Reinspection due
#12,"Newton,-Peters-and-Rivera©",Community Health Ctr.,Christ Church,13.22506,-59.2211,392.0,2024-08-23,,
#13,"Barr, Conley and Mendoza Clinic (ST.)",Polyclinic,St. James,13.17264,-58.87985,,2024-08-16,2022-01-08,-
333DB8,Zimmerman and Sons Infirmary (St.),Polyclinic,St. Lucy,13.17008,-58.9125,84.0,2019-10-02,2025-11-18,Good
015,"Martinez, Williams and Ellis Polyclinic (St.James)",Hospital,St.James,12.982777777777779,-59.22222222222222,,2017-07-01,2023-01-08,Follow-up 2023
AF30F0,Bradley PLC,Clinic,St. George,12.858055555555556,-59.13027777777778,,2020-08-20,2018-05-16,♥
00017,Wagner LLC 🏥,,Christchurch,13.09928,-58.88444,,2016-09-12,,♥
6F82F6,Case and Sons Polyclinic,Polyclinic 🏥,St. James,13.07409,-58.84039,166.0,,2024-09-25,
00019,"Rodriguez, Mayer and Hamilton",Clinic,St Joseph,,,474.0,2025-12-31,2024-02-27,
2BA130,Brown PLC Polyclinic,Polyclinic 🏥,St James,12.729166666666666,-59.28611111111111,,2016-07-07,,Reinspection due
NAN,Guerrero PLC Hospital (ST.),Health Ctr.,St. George,-59.10385,12.8403,,,2023-05-31,Reinspection due
022,Baker-Taylor Hosp.,,St. Joseph,-59.24115,12.70994,,2018-04-02,,
#23,"Allen, Riley and Kennedy©",Hospital,St. Peter,,,,,2022-10-31,Reinspection due
23,"Allen, Riley and Kennedy©",Hospital,St. Peter,,,,,2022-10-31,Reinspection due
024,Lowe-Morris Health Centre,Community Health Ctr.,St.John,,,408.0,2017-04-01,2025-11-23,-
HF-0025,"Adams,-Silva-and-Davidson Medical Center (St.)",,St. George,13.11901,-59.06883,99.0,2021-09-03,2025-11-12,-
NAN,"Lopez, Allen and Estrada Hosp. (st.)",Hosp.,St. Michael,,,285.0,2018-10-14,2023-05-20,Reinspection due
3B7308,"Miller, Pennington and Blake",Hospital,St.Peter,,,,2022-06-23,2022-05-02,
00028,Johnson Group Clinic,Health Centre,St.Michael,13.12849,-59.24123,,,2021-06-25,♥
00028,Johnson Group Clin.,Health Centre,St.Michael,13.12849,-59.24123,,,2021-06-25,♥
029,"Bentley, Scott and Graves Clinic",,St. Joseph,13.24629,-58.98848,,,,-
030,Owens Ltd 🏥 (semaJ),Hosp.,St. James,13.14441,-58.80217,495.0,2022-03-08,2025-02-28,Follow-up 2023
00031,"Price, Andrews and Scott Medical Center",Community Health Ctr.,St. Andrew,,,,2023-07-22,,
NAN,"Young, Dickerson and Wells",Health Ctr.,St. Peter,12.993,-59.23137,416.0,2022-04-03,,Good
033,Cook-Dean (CHRIST),Clinic🌡️,Christ Church,,,42.0,2024-04-04,2020-07-22, 
776A5F,"Cook, Potter and Fritz (christ)",Health Ctr.,Christ Church,12.77064,-58.83182,,2025-12-27,2023-04-21,
00035,Johnson Ltd Hosp. (nhoJ),Community Health Centre,Nhoj .Ts,12.975833333333334,-58.94222222222222,295.0,,2024-07-29,♥
00036,Harvey PLC Clinic (ST.),,St. Peter,,,,,2022-05-20,Needs upgrade
00036,Harvey PLC Clin. (ST.),,St. Peter,,,,,2022-05-20,Needs upgrade
00037,Jones Group Hosp. (St.),Clinic,St. George,13.29409,-58.72088,75.0,2020-12-30,2022-11-03,Good
038,Chapman PLC 🏥 (Christ),Health Ctr.,Christ Church,12.70734,-59.15735,375.0,2025-02-11,,Good
DA683E,"Good,-Martin-and-Wade",Hospital,St.Lucy,12.8019,-58.98195,,,,-
#40,Taylor-Turner Health Centre (St.),Community Health Ctr.,St. George,-58.77812,13.24369,424.0,2017-11-18,2021-02-09,Needs upgrade
A677B0,"Richardson,-Spencer-and-Johns Hosp.",Clinic🌡️,Christ Church,12.74772,-59.04428,56.0,,,Follow-up 2023
042,Kennedy-Arnold Infirmary,CHC,St.Joseph,,,123.0,,2018-11-09,Follow-up 2023
#43,"Grimes, Wilson and Harvey Health Centre",,St Michael,,,353.0,,,Good
#44,Nguyen-Poole Health Centre (St),Clinic🌡️,St Lucy,,,387.0,2017-01-06,2022-03-23,Good
00045,Pierce and Sons Polyclinic,Clinic,St. Peter,13.04323,-59.15415,,2024-11-24,2020-06-01,Reinspection due
#46,Contreras-Moreno Hospital,Health Ctr.,St. Michael,13.11947,-58.9958,99.0,2016-08-28,2024-11-24,♥
NAN,Jones-Moon,Community Health Ctr.,St James,13.18918,-59.29334,391.0,2023-10-21,,Good
NAN,"Ramirez, Cooper and Stone Hospital (St)",Hospital,St Andrew,-58.76473,12.82983,193.0,,2021-10-24,Follow-up 2023
NAN,"Ramirez, Cooper and Stone Hosp. (St)",Hospital,St Andrew,-58.76473,12.82983,193.0,,2021-10-24,Follow-up 2023
00049,Shepard-PLC,Clinic🌡️,St.Joseph,13.05,-58.802499999999995,,,2023-04-08, 
00050,"Bean, Colon and Baird Infirmary",Clinic,St. Lucy,13.276944444444446,-58.87277777777778,,2024-03-22,2024-07-03,♥
00050,"Bean, Colon and Baird Infirmary",Clinic,St. Lucy,13.276944444444446,-58.87277777777778,,2024-03-22,2024-07-03,♥
NAN,"Pierce, Glenn and Norton Hosp.✨",,St. Lucy,13.15939,-59.20132,430.0,2025-06-10,,Good
CC6B95,Day-Payne,Health Centre,St Joseph,,,497.0,2023-01-06,2024-06-22,Good
053,Turner-and-Sons,Polyclinic 🏥,St. James,13.254722222222222,-58.861111111111114,226.0,2023-03-28,,Good
054,"Thomas-Rogers Clinic
NewLine",,Christ Church,13.24203,-58.91888,308.0,2021-01-30,,Good
054,"Thomas-Rogers Clin.
NewLine",,Christ Church,13.24203,-58.91888,308.0,2021-01-30,,Good
#55,Thompson-Macias Hosp.,,St. George,,,47.0,,2021-11-03,-
#56,"Webb,-King-and-Logan©",Clinic🌡️,St. Michael,12.73912,-59.05921,223.0,,2018-03-19,Reinspection due
057,Taylor-Welch 🏥 (ST.),Clinic,St. Peter,13.188055555555556,-59.23305555555556,,2024-01-09,2022-03-03,
A6886A,Walton-Hensley,Hosp.,St.Lucy,13.24493,-59.10481,,2022-05-03,2018-01-18,-
059,Luna LLC Health Centre,Community Health Ctr.,St.Michael,12.99003,-59.21087,,2024-02-02,2025-01-22,♥
060,Salazar LLC 🏥💊,Health Ctr.,St.Joseph,,,,2025-11-30,2019-02-22,
#61,Mccarty-Atkins Infirmary,Hospital,St. James,,,100.0,2024-08-11,2022-02-12,
062,Stevenson-Powell Hospital (ST.),,St. Andrew,13.1121,-59.27002,300.0,,,♥
062,Stevenson-Powell Hosp. (ST.),,St. Andrew,13.1121,-59.27002,300.0,,,♥
NAN,Perry Inc (St),CHC,St Lucy,13.079444444444444,-59.135555555555555,,2021-11-06,2024-01-19,-
6B470A,Brown-Harrison (ST.),Polyclinic 🏥,St. Joseph,,,316.0,,,
NAN,Craig-Mitchell Hosp. (St.Peter),,St.Peter,,,236.0,,,
066,Nelson-Long Hosp. (Christ),Hosp.,Christ Church,,,38.0,,,-
NAN,Williams Group Hospital,Community Health Ctr.,St. Joseph,12.8461,-59.20678,422.0,,,Follow-up 2023
NAN,Williams Group Hosp.,Community Health Ctr.,St. Joseph,12.8461,-59.20678,422.0,,,Follow-up 2023
068,Henderson Ltd Hospital (ST.),,St. James,-59.28952,13.18085,,2016-09-20,,Needs upgrade
NAN,"Davis,-Hernandez-and-Simon Infirmary",Community Health Centre,St. Andrew,-58.72388,12.88048,466.0,,2022-07-28,
070,Wiggins-Rivas Medical Center (St.)💊,Health Ctr.,St. Lucy,-58.82087,13.26942,115.0,2025-03-05,, 
071,"Barnes-Mccarty
NewLine",,St. James,,,246.0,2023-02-04,,-
#72,Jimenez-Rodgers Hospital,Hosp.,Christ Church,,,,2022-01-12,2023-07-19,
#73,Chambers-Hickman (St.John),Clinic,St.John,,,322.0,2016-03-22,,-
HF-0074,Lindsey-Li 🏥 (St),Clinic,St Peter,13.19106,-58.83552,,2025-11-21,2019-03-23,Reinspection due
075,Kim Inc Clinic,,Christ Church,13.11191,-59.13231,,2017-04-09,2018-02-02,Reinspection due
075,Kim Inc Clinic,,Christ Church,13.11191,-59.13231,,2017-04-09,2018-02-02,Reinspection due
076,Davis-Salazar Medical Center (St.),Clinic🌡️,St. Andrew,,,176.0,2024-01-18,2024-07-28,
00077,Fields-Sloan Medical Center,Polyclinic,St Michael,,,,2021-07-30,2020-08-14,Needs upgrade
E2B345,"Malone, Jones and Robbins Infirmary",Community Health Centre,St. Michael,-59.03151,12.96314,480.0,2023-08-08,2020-11-02,Reinspection due
NAN,"Cox,-Washington-and-Blair (St.)",Community Health Centre,St. James,,,,2017-11-27,2021-12-28,Reinspection due
NAN,"Lawrence-Nguyen Medical Center (Christ)
NewLine",Polyclinic 🏥,Christ Church,-58.76112,13.26527,,2025-12-20,2025-10-21,
NAN,"Sellers, Gibson and Klein Polyclinic (nhoJ)",Health Centre,Nhoj .Ts,,,21.0,2021-03-24,,
082,Green-Gill Polyclinic,Health Ctr.,Christ Church,,,,2020-05-06,,Follow-up 2023
082,Green-Gill Polyclinic,Health Ctr.,Christ Church,,,,2020-05-06,,Follow-up 2023
083,"Williams, Schwartz and Bishop Hospital (werdnA)",,St. Andrew,-59.27525,12.94418,230.0,2022-08-23,2024-04-10,
083,"Williams, Schwartz and Bishop Hosp. (werdnA)",,St. Andrew,-59.27525,12.94418,230.0,2022-08-23,2024-04-10,
NAN,Williams-Inc Health Centre (St.),,St. Michael,13.03765,-58.8478,346.0,2024-06-01,2023-09-03,Needs upgrade
NAN,Solis PLC 🏥,Clinic🌡️,St. James,,,,2017-06-03,2018-05-09, 
#86,Hill-Camacho Health Centre,Clinic,St. Joseph,-58.9887,12.99454,134.0,2021-05-22,2025-06-05,
NAN,"Williams, Sanders and Turner Health Centre",Health Ctr.,St.John,-58.98132,12.88486,310.0,2019-07-31,,Follow-up 2023
NAN,Liu-Perez 🏥,Health Ctr.,St. Andrew,,,69.0,2016-08-16,2018-02-03,Reinspection due
#89,Snyder-Morales Medical Center (St.),Clinic🌡️,St. Joseph,12.744444444444444,-59.1075,166.0,2021-11-03,2018-12-26,Good
NAN,Garcia LLC Hosp. (St.Michael),Community Health Centre,St.Michael,13.185277777777777,-59.11416666666667,,2018-06-09,,Good
HF-0091,"Pineda Group
NewLine",Hosp.,Christ Church,,,62.0,2019-02-19,2024-05-15,
NAN,Cole-Inc Hospital (st.)💊,Polyclinic 🏥,St. Joseph,-58.86443,13.15694,167.0,,2020-09-30,♥
NAN,Cole-Inc Hospital (st.)💊,Polyclinic 🏥,St. Joseph,-58.86443,13.15694,167.0,,2020-09-30,♥
0CA67E,Anderson-Stokes,CHC,St. Michael,12.940277777777778,-58.913333333333334,468.0,,,
#94,Fox Ltd (St.),Clinic,St. Peter,12.95493,-59.11045,191.0,,,Needs upgrade
095,"Ray, Smith and Turner Hosp. (st.)",Community Health Centre,St. Lucy,13.07508,-58.70656,345.0,,,Good
D72C1E,Cruz Ltd Health Centre (ST.),Community Health Ctr.,St. Joseph,13.06407,-58.70674,,2024-12-27,,Follow-up 2023
NAN,"Kelly, Cervantes and Salinas",CHC,St. George,12.70497,-59.19715,417.0,,2019-09-19,Follow-up 2023
427288,"Johnson, Miller and Flores 🏥 (ST.)",Polyclinic 🏥,St. Michael,13.23448,-59.04058,85.0,,,Follow-up 2023
HF-0099,Gallegos PLC (christ),Hospital,Christ Church,-59.1433,13.22849,,2017-07-06,2025-06-19,Good
HF-0100,Daniels-Murphy 🏥,Community Health Ctr.,St. James,,,,2022-12-14,2023-05-28,♥
HF-0100,Daniels-Murphy 🏥,Community Health Ctr.,St. James,,,,2022-12-14,2023-05-28,♥
8C3AE9,Clark-Flynn©,Clinic,St. John,-59.11628,13.22592,,,2021-08-27,
8C3AE9,Clark-Flynn©,Clinic,St. John,-59.11628,13.22592,,,2021-08-27,
102,Harris-Esparza (ChristChurch),Community Health Ctr.,Christchurch,,,488.0,,,♥
102,Harris-Esparza (ChristChurch),Community Health Ctr.,Christchurch,,,488.0,,,♥
00103,Gray-Turner Clinic (st.),Health Centre,St. Michael,,,64.0,2024-12-16,2021-08-11,-
104,George Ltd Clinic (St)©,Community Health Centre,St Andrew,-58.87857,13.05713,71.0,2018-05-24,2024-08-11,Reinspection due
HF-0105,Green-Manning Health Centre,Hosp.,Christ Church,12.71436,-58.98327,,2019-08-08,2024-08-28,Follow-up 2023
NAN,Levy-Rogers Infirmary (st.),CHC,St. Michael,,,307.0,2016-10-25,2022-11-15,
NAN,Levy-Rogers Infirmary (st.),CHC,St. Michael,,,307.0,2016-10-25,2022-11-15,
#107,Mcbride LLC Clinic (st.),Clinic🌡️,St. Andrew,12.789166666666667,-59.075833333333335,101.0,2020-08-17,2019-06-03,
NAN,"Hansen, Serrano and Ramirez Health Centre (St)©",Community Health Ctr.,St James,13.007777777777777,-59.12722222222222,,2021-12-10,,
#109,Camacho-Cross Hosp.,,St. Lucy,12.85044,-58.97269,,2025-07-01,,Good
109,Camacho-Cross Hosp.,,St. Lucy,12.85044,-58.97269,,2025-07-01,,Good
110,"Walker, Ortiz and Hansen Hosp. (St)",Clinic🌡️,St John,,,285.0,2017-08-13,2020-07-20,
110,"Walker, Ortiz and Hansen Hosp. (St)",Clinic🌡️,St John,,,285.0,2017-08-13,2020-07-20,
#111,Hardy-Contreras (St.),Health Ctr.,St. Peter,13.280833333333334,-59.13138888888889,,2020-12-14,,Good
2D8089,"Richardson,-Morales-and-Terry Health Centre",Health Ctr.,St. James,13.016944444444444,-58.993611111111115,,2024-08-17,,
00113,Miller-Shelton Infirmary (hpesoJ),Clinic🌡️,St. Joseph,12.985,-59.01916666666666,,2020-03-15,,
00114,"Walsh,-Garcia-and-Knox 🏥",Clinic,St. James,13.12108,-58.7848,314.0,,2024-06-08,Reinspection due
00115,Mcdaniel Inc Health Centre,Polyclinic,St. James,-59.02809,13.03301,75.0,2023-05-23,,-
HF-0116,Harrison-White (St.),Health Centre,St. John,-59.2131,12.73681,28.0,2022-08-14,2021-03-24,Needs upgrade
HF-0117,Adams-Curry Hosp.,,St Michael,13.09176,-59.19394,43.0,2018-10-22,2024-10-13, 
HF-0118,Brady PLC,Hosp.,St. Michael,13.06796,-58.97284,,2021-02-19,2019-03-31, 
00119,Smith-Lloyd Medical Center (St.),,St. James,,,136.0,2021-07-10,,Good
00120,"Perez, Hopkins and Smith 🏥",Polyclinic,St.John,13.09093,-59.2292,,2017-01-18,2024-04-24,
NAN,"Erickson,-King-and-Mack Hospital (St.George)",CHC,St.George,12.871111111111112,-59.17472222222222,,,2021-06-12,Follow-up 2023
NAN,"Erickson,-King-and-Mack Hosp. (St.George)",CHC,St.George,12.871111111111112,-59.17472222222222,,,2021-06-12,Follow-up 2023
#122,"Hayes,-Brown-and-Hood Polyclinic",,St. John,12.9977,-59.14294,351.0,2020-05-10,2025-02-15,Follow-up 2023
#123,Stewart-Webb 🏥 (Christ),Health Centre,Christ Church,13.239999999999998,-59.25222222222222,,2018-11-16,2019-10-13,Good
124,Fowler-Wright Infirmary (St.),CHC,St. Peter,13.048055555555555,-58.80083333333333,,2025-06-09,2018-05-25,Reinspection due
125,"Anderson, Wagner and Williams Hospital",Clinic,St.James,13.022222222222224,-58.843333333333334,299.0,,2019-06-28, 
HF-0126,Moore-Brown Clinic (Christ),Polyclinic,Christ Church,,,328.0,2020-10-31,, 
HF-0126,Moore-Brown Clin. (Christ),Polyclinic,Christ Church,,,328.0,2020-10-31,, 
AF7B16,"Taylor, Cabrera and Swanson Clinic",Health Centre,St. John,,,217.0,,2020-02-16,Good
307989,Snyder-Moore,,St. John,13.096111111111112,-59.18888888888888,450.0,,2025-01-28,♥
129,Swanson-Ltd Hosp. (St),Hosp.,St Peter,13.00962,-59.27337,,2024-11-30,,♥
NAN,"Gregory, Miller and Watkins Health Centre (St.)",Hosp.,St. Peter,12.97566,-58.97619,,,2024-06-15, 
HF-0131,Clements-PLC Hospital,Clinic,St. Lucy,12.965555555555556,-59.03722222222222,56.0,2016-12-17,2020-03-14,
HF-0131,Clements-PLC Hosp.,Clinic,St. Lucy,12.965555555555556,-59.03722222222222,56.0,2016-12-17,2020-03-14,
#132,Peterson PLC Clinic,Health Centre,St. George,13.20252,-59.17851,292.0,2023-06-07,2021-04-07,Needs upgrade
00133,Woods-Ltd,Health Centre,St.John,13.184722222222222,-59.13472222222222,54.0,,2019-03-27,
134,Kerr-Vincent,CHC,St. George,-58.8163,12.90485,,,2025-06-19,Reinspection due
NAN,Brown-Lucas Clinic,Polyclinic,St. James,,,422.0,2018-12-23,2018-12-08,Reinspection due
A6E6A5,Gutierrez-Lawson Polyclinic (St),Hosp.,St Lucy,-58.94292,12.99588,210.0,,, 
HF-0137,"Garcia, Eaton and Hooper Hosp.",Clinic🌡️,St. Andrew,12.751388888888888,-58.99861111111111,,2021-01-11,2021-07-30,Reinspection due
NAN,Murphy-Wolfe Infirmary (ST.)✨,Community Health Centre,St. Lucy,,,,2021-04-25,2021-11-12,Needs upgrade
NAN,Thompson-Baker,,St. Michael,13.124166666666667,-59.248333333333335,151.0,,,♥
6DF688,Good-Bailey Medical Center (St.),Polyclinic,St. John,12.77955,-59.19385,314.0,2019-06-28,2025-06-07,Follow-up 2023
A22848,Mercado and Sons (St.John),Polyclinic,St.John,,,199.0,,2021-11-11,Reinspection due
F22C91,"Bowen, Curry and Neal Hospital",Clinic🌡️,St. Michael,13.21132,-58.79109,,,2021-10-18,-
143,Parker-Inc Clinic,Community Health Centre,Christ Church,12.96476,-58.79975,345.0,,2022-03-23,Follow-up 2023
0D5AAE,Curtis Inc Medical Center,,St. Peter,,,,2023-12-24,2023-10-06,-
HF-0145,"Arnold, White and Barrett Clinic (semaJ)",Health Centre,St. James,,,199.0,,2019-03-18,
146,Ward-Hudson Hospital,Health Centre,St. Lucy,12.81417,-58.77636,495.0,2017-07-03,,-
NAN,Patterson and Sons Hosp.,Health Centre,St. John,-59.02995,12.90651,221.0,,2018-03-11,
148,"Mccarthy,-Andersen-and-Jones",CHC,St George,13.003055555555555,-59.11694444444444,,2022-11-19,2024-07-01,Good
#149,Bell-and-Sons Infirmary,,St. Joseph,,,,,,-
00150,"Hancock, Sanchez and Lin Health Centre (st.)",Community Health Ctr.,St. Michael,12.73962,-58.77626,,2020-07-06,2024-06-22,Follow-up 2023
NAN,Gordon-Lozano Infirmary,CHC,St. Michael,12.843611111111112,-59.22555555555556,417.0,2016-11-15,2019-10-22,Reinspection due
NAN,"Davis,-Carter-and-Johnson Hospital",,St. James,12.80279,-59.00715,113.0,2020-05-24,,-
NAN,Wilkins-Inc 🏥 (ChristChurch),Community Health Centre,Christchurch,12.78907,-59.07413,5.0,2020-08-26,2022-03-11,-
NAN,Hall-Cox Hospital,Community Health Ctr.,Christ Church,,,477.0,2024-08-17,2020-10-05,
#155,Graves and Sons,Health Centre,St. Michael,-58.79872,13.29619,129.0,2023-12-05,2020-11-08,♥
NAN,Freeman-Newton,Clinic🌡️,St.Peter,12.94787,-59.05694,263.0,2016-12-14,2024-07-07,
HF-0157,Cisneros and Sons Medical Center,Community Health Ctr.,St. Peter,13.07899,-58.84994,344.0,2020-09-10,2019-10-25,
#158,Lewis-Hernandez (ST.),Health Ctr.,St. Lucy,,,95.0,2017-10-17,,Reinspection due
HF-0159,"Harris, Martin and Hayden Health Centre (egroeG)",,St. George,-59.00318,12.97798,191.0,,2020-11-25,
HF-0160,Hernandez-Green Hospital (hpesoJ),Polyclinic,St. Joseph,13.19163,-58.91908,,2024-03-18,2018-09-02, 
HF-0161,Ingram-Thomas Clinic (St.Joseph),Clinic,St.Joseph,13.08661,-59.14029,396.0,2020-07-05,2025-01-25,
#162,Cooper-Gardner Medical Center,Hosp.,St. Joseph,12.75936,-58.89165,46.0,2017-10-24,,Follow-up 2023
00163,Walker PLC,Community Health Centre,Christchurch,,,,2018-01-04,2024-10-19,Good
164,Nash Inc Health Centre,Clinic🌡️,Christchurch,13.164166666666667,-59.28777777777778,,2017-01-20,2020-01-05,
00165,"Jones, Allen and Powell Clinic (St.)💊",Polyclinic 🏥,St. George,12.70265,-59.15354,235.0,2021-06-24,2023-07-17,
NAN,Bishop-Phelps (St.),Clinic🌡️,St. James,13.040555555555555,-59.16027777777778,202.0,,,
167,Fields-Johnson Medical Center,Health Ctr.,St Lucy,12.82892,-58.75518,327.0,,2020-09-10,-
00168,Anderson LLC Polyclinic (st.),Hosp.,St. Michael,13.29045,-59.18973,274.0,2023-07-23,2025-03-11,-
NAN,Allison PLC 🏥 (St.George),Polyclinic 🏥,St.George,12.91,-58.77972222222222,20.0,2023-11-07,,
NAN,Patrick PLC Health Centre,CHC,St George,13.037222222222223,-59.08833333333334,,,,♥
00171,Khan-Jones 🏥,Community Health Ctr.,Christchurch,,,7.0,,2023-03-27,
NAN,"Johnson, Burke and Edwards Health Centre (St.)",Clinic,St. Peter,,,,2021-08-23,2019-05-12,Needs upgrade
NAN,Nicholson-Little Hosp. (St.Lucy)💊,Community Health Ctr.,St.Lucy,,,283.0,,2025-11-25,Follow-up 2023
00174,Peterson Inc©,Hospital,St. George,13.231388888888889,-59.14805555555556,369.0,2025-04-13,,♥
HF-0175,Singh-Inc,Polyclinic,St. Andrew,12.90014,-58.82049,175.0,,2022-06-03,Good
NAN,"Young, Dunlap and Mata 🏥",Community Health Centre,St John,12.833333333333334,-59.1175,,,2021-07-14,-
177,"Rivera,-Walker-and-Alexander (st.)",Health Ctr.,St. John,13.0886,-59.17347,20.0,2023-01-21,,
E09941,"Nelson, Hill and Odonnell",Clinic🌡️,St George,,,,2025-11-09,2022-08-24,
NAN,Williams Ltd 🏥 (st.),Community Health Centre,St. Michael,,,,,2020-01-11,
NAN,Williams Ltd 🏥 (st.),Community Health Centre,St. Michael,,,,,2020-01-11,
180,Washington Inc Health Centre (St),,St George,12.727500000000001,-59.26027777777778,,,,
HF-0181,Walker-Oneal Hospital (ChristChurch)💊,Community Health Ctr.,Christchurch,13.07029,-58.84277,,2025-12-12,,-
182,Zamora-Ltd (St.),Hosp.,St. George,,,30.0,2020-05-05,,
00183,"Butler, Ramos and Anderson 🏥 (St.)💊",Polyclinic,St. Andrew,12.911944444444444,-59.12916666666667,,2024-06-11,,♥
NAN,"Wallace, Perry and Gonzales Infirmary (semaJ)",,St. James,,,,,2020-03-10,Reinspection due
8232BF,Wolfe Ltd Polyclinic,Community Health Ctr.,St. Andrew,12.80114,-58.75046,,,2019-11-05,Follow-up 2023
186,Medina-and-Sons Hospital (christ),,Christ Church,,,,,,-
HF-0187,Rhodes and Sons (ST.),Hosp.,St. Lucy,,,215.0,2023-09-15,2023-09-06,Needs upgrade
HF-0188,Myers Inc Medical Center,,St. Peter,-58.70913,13.00881,406.0,2020-12-19,2023-12-25,-
NAN,Horne-Baker Medical Center,Polyclinic,St.John,13.29643,-59.1817,,,,-
NAN,"Jimenez, Mullins and Hamilton Hospital",,St.Michael,13.09865,-59.21086,,2017-04-19,,♥
3E22AC,"King-Smith Infirmary
NewLine",,St. Peter,,,,2020-07-03,2025-05-31,
HF-0192,"Barnett, Lee and Malone Hosp. (st.)",Hospital,St. Andrew,-59.23382,13.15991,,,2020-03-26, 
NAN,"Cohen, Phillips and Powell Clinic (St.)",,St. Joseph,12.804444444444446,-58.89722222222222,381.0,,,
22FE4E,"Conrad,-Clark-and-Wong 🏥",Clinic🌡️,St. John,,,,,2018-05-31, 
00195,"Jackson, Lynn and Jones Infirmary",Health Ctr.,St Michael,12.709444444444443,-59.150277777777774,,2022-08-04,,
NAN,Johnson-Martinez 🏥 (ST.),Polyclinic,St. Peter,12.73095,-59.28849,131.0,2018-03-21,2025-03-10,Needs upgrade
197,Reed Group (St.)✨,Health Centre,St. George,13.19605,-58.95608,137.0,,2018-12-17,Good
0E7646,"Lewis,-Hill-and-Love",Community Health Ctr.,St Michael,-58.72898,13.08813,,2021-01-29,2021-06-30,Good
00199,Anderson-Esparza Health Centre (egroeG),Polyclinic 🏥,St. George,,,191.0,,2022-08-05,Needs upgrade
HF-0200,"Austin, Smith and Hamilton Hosp.",Clinic,Christchurch,12.70468,-58.77693,,2025-10-08,, 
201,Holmes and Sons,CHC,St. Andrew,13.174999999999999,-59.14527777777778,339.0,,,
B16CAD,Smith-Carlson Clinic,Clinic,St. Andrew,13.27582,-58.86276,39.0,2017-04-22,2024-05-17,Reinspection due
B16CAD,Smith-Carlson Clin.,Clinic,St. Andrew,13.27582,-58.86276,39.0,2017-04-22,2024-05-17,Reinspection due
203,Flores-Group Hospital (St.),Polyclinic,St. Andrew,12.77601,-58.86937,126.0,2024-05-06,2019-10-04,
00204,"Baker, Castaneda and Erickson Clinic",Community Health Centre,St. John,,,,,2019-10-22,Reinspection due
00204,"Baker, Castaneda and Erickson Clin.",Community Health Centre,St. John,,,,,2019-10-22,Reinspection due
00205,Wheeler-PLC Infirmary (St),CHC,St John,12.909444444444444,-59.04972222222222,96.0,2020-03-12,2022-03-12,Reinspection due
NAN,Smith and Sons Medical Center,Hosp.,St.Andrew,12.77962,-58.70016,27.0,2025-11-13,, 
